department,full_name,company_name,email,phone_number,number_of_apartements,number_of_floors,number_of_basements,number_of_parking,number_of_stores,max_occupancy_per_floor,hours_of_activity ,service_level,number_of_elevators,installation_cost,total_cost
Corporate,Ansley Summersby,Zoovu,asummersbyk4@ehow.com,390-580-3019,103,88,1,624,14,229,,Excelium,25,$15564.10,$1864780.22
Corporate,Tadeo Hebborne,Fivespan,thebbornekk@mapy.cz,767-447-5927,59,75,6,436,7,37,,Standard,3,$9765.43,$163094.60
Corporate,Dael Geaveny,Mudo,dgeavenykl@google.co.uk,567-929-3674,329,57,2,198,13,285,,Standard,22,$12815.71,$470040.95
Corporate,Gail Vaughn,Ntag,gvaughnkp@kickstarter.com,461-156-9473,335,36,4,459,17,70,,Standard,6,$14126.75,$286850.45
Corporate,Broddy Masdin,Thoughtblab,bmasdinku@prlog.org,174-420-6847,369,9,9,193,18,190,,Excelium,2,$15792.38,$1919560.63
Corporate,Augustus Hatliffe,Brainverse,ahatliffekx@npr.org,864-580-9265,37,98,4,856,20,193,,Premium,25,$11101.47,$1715335.49
Corporate,Berthe Gyurko,Twitterlist,bgyurkol2@hibu.com,780-262-0493,215,21,10,176,17,62,,Standard,24,$16855.45,$321777.25
Corporate,Waiter Gainsbury,Edgepulse,wgainsburyl6@multiply.com,205-817-1727,161,15,10,532,16,66,,Excelium,28,$14268.00,$1002974.92
Corporate,Ivar Szwarc,Blogtag,iszwarcl7@google.com,626-245-1921,92,35,5,757,8,115,,Standard,20,$17844.55,$1787904.64
Corporate,Arda Basek,Quinu,abasekl8@google.com.hk,198-771-2627,373,43,10,612,9,163,,Excelium,23,$16365.47,$368449.86
Corporate,Marie-ann Amberson,Tagpad,mambersonlk@telegraph.co.uk,307-585-2692,313,54,6,164,5,250,,Standard,21,$8998.91,$2193681.76
Corporate,Jaine Gunderson,Photofeed,jgundersonln@deliciousdays.com,920-764-9809,24,24,5,649,16,49,,Standard,5,$11624.86,$1838529.57
Corporate,Silvana Plevey,Meemm,spleveyls@tiny.cc,883-850-2701,192,50,2,307,18,261,,Excelium,26,$16002.25,$1572838.65
Corporate,Domini Breen,Realmix,dbreenm1@intel.com,683-767-6666,58,83,6,142,12,291,,Premium,18,$17212.64,$636181.49
Corporate,Alano Blinckhorne,Devpulse,ablinckhornem3@yellowpages.com,155-495-8947,138,51,4,292,18,112,,Standard,20,$7930.17,$1959952.35
Commercial,Fredericka Karlolak,Centimia,fkarlolak3@surveymonkey.com,480-984-8195,258,54,2,137,10,,,Standard,26,$8180.49,$1623059.31
Commercial,Sallyanne David,Skaboo,sdavid7@rakuten.co.jp,766-687-0696,232,86,1,618,9,,,Standard,4,$16418.22,$1495073.38
Commercial,Cari Dunstall,Vidoo,cdunstall8@deviantart.com,636-405-8100,124,27,4,383,10,,,Standard,29,$9712.67,$1003752.47
Commercial,Tomas Sebrook,Tagchat,tsebrook9@pinterest.com,333-130-5076,280,94,3,596,8,,,Premium,3,$17845.80,$602701.26
Commercial,Vick Kiddy,Skalith,vkiddyf@who.int,658-424-2801,79,67,10,339,5,,,Excelium,4,$9775.44,$305150.13
Commercial,Urbanus Circuitt,Kwilith,ucircuittx@oracle.com,175-302-5910,178,29,7,97,20,,,Premium,20,$17945.38,$2188945.49
Commercial,Bond Lauderdale,Chatterbridge,blauderdale11@amazonaws.com,910-560-3654,221,80,7,174,17,,,Standard,3,$10013.92,$2278404.29
Commercial,Randolph Cranke,Wikizz,rcranke16@examiner.com,367-931-5189,24,21,4,411,5,,,Standard,17,$11271.91,$2215126.46
Commercial,Clark Wreakes,Mudo,cwreakes19@accuweather.com,865-923-7635,270,46,10,629,8,,,Standard,4,$9167.54,$1026278.64
Commercial,Theresita Muat,Skidoo,tmuat1b@goo.gl,115-489-7614,257,97,10,481,20,,,Standard,19,$7218.94,$2153172.08
Commercial,Jaquelyn Etchells,Buzzbean,jetchells1f@blogspot.com,405-639-8465,284,76,4,633,10,,,Excelium,12,$16828.28,$1995321.69
Commercial,Julee Fadell,Skinder,jfadell1j@hexun.com,122-378-9778,299,3,3,218,15,,,Standard,2,$12333.45,$719409.41
Commercial,Alessandro Canto,Dabtype,acanto1o@barnesandnoble.com,396-636-1772,146,79,5,907,9,,,Excelium,28,$11962.62,$1726828.28
Commercial,Catherine Busfield,Centizu,cbusfield1v@plala.or.jp,948-308-1247,381,93,4,685,13,,,Excelium,10,$16962.10,$316793.85
Commercial,Gabbey MacCard,Camimbo,gmaccard1w@cnn.com,195-679-2080,313,72,2,792,10,,,Excelium,18,$13693.76,$1410822.42
Commercial,Isiahi Addis,Flipopia,iaddis26@squidoo.com,894-415-2628,360,3,10,82,9,,,Excelium,14,$15450.93,$791248.11
Commercial,Jesselyn Kield,Mycat,jkield27@seesaa.net,726-392-5697,85,96,3,603,16,,,Premium,10,$10683.57,$2032769.20
Commercial,Sabra Dyter,Gevee,sdyter28@1688.com,853-568-9755,264,82,9,278,9,,,Standard,14,$11538.45,$1796342.03
Commercial,Anet Deverill,Bubblebox,adeverill2f@indiegogo.com,552-102-4079,45,30,7,653,11,,,Standard,25,$15270.59,$479863.66
Commercial,Happy Dunkerley,Devbug,hdunkerley2g@flavors.me,583-837-1652,233,19,9,432,6,,,Premium,5,$9550.60,$192166.62
Commercial,Neala Trenholm,Youspan,ntrenholm2l@ovh.net,433-713-1058,296,94,2,727,14,,,Premium,2,$12425.91,$1797814.97
Commercial,Jaclin Linger,Avaveo,jlinger2r@dion.ne.jp,590-744-6568,251,31,10,60,6,,,Standard,23,$12970.87,$687759.86
Commercial,Donovan Echlin,Quire,dechlin2w@toplist.cz,158-324-0954,82,19,7,119,8,,,Excelium,27,$8290.05,$2085043.93
Commercial,Annissa Pietrowski,Photobean,apietrowski35@drupal.org,532-209-9328,279,90,4,554,10,,,Standard,14,$14973.04,$826044.32
Commercial,Benjamin Shambrook,Eare,bshambrook39@jigsy.com,805-430-6038,57,50,1,836,8,,,Excelium,23,$11076.05,$1602651.95
Commercial,Nisse Yendle,Pixoboo,nyendle3f@google.com.au,420-321-0966,246,84,10,792,10,,,Premium,27,$7275.87,$1240116.40
Commercial,Teresita Kohneke,Dazzlesphere,tkohneke3h@nydailynews.com,103-169-7099,196,86,4,974,10,,,Excelium,24,$13742.93,$2118170.58
Commercial,Sarine Metham,Dynabox,smetham3i@exblog.jp,256-654-8621,380,89,6,713,10,,,Premium,9,$13330.06,$1052734.35
Commercial,Drew Bulch,Oozz,dbulch3k@prlog.org,202-446-6392,245,49,4,186,16,,,Premium,3,$11317.64,$1410536.35
Commercial,De Carlan,Skinder,dcarlan3q@usa.gov,101-503-6581,193,24,9,348,11,,,Premium,1,$10952.76,$424169.64
Commercial,Nicki Labern,Skilith,nlabern3s@goodreads.com,420-656-1196,243,54,9,581,14,,,Excelium,25,$13885.96,$1242113.53
Commercial,Marleah Baston,Centidel,mbaston41@cyberchimps.com,344-105-0890,312,59,8,855,10,,,Excelium,4,$13766.96,$1296372.55
Commercial,Vina Whittles,Fivespan,vwhittles42@archive.org,740-658-0528,313,7,1,942,9,,,Premium,26,$7336.55,$545020.48
Commercial,Killie Nern,Rhyloo,knern4a@miibeian.gov.cn,765-272-5037,157,46,7,390,15,,,Premium,20,$11890.70,$420353.84
Commercial,Dominik Aberdeen,Gigashots,daberdeen4l@netvibes.com,573-874-5530,328,35,9,870,18,,,Excelium,17,$16304.37,$1122205.82
Commercial,Freeland Chaff,Livetube,fchaff4m@ovh.net,870-854-9246,142,14,10,910,11,,,Premium,16,$11278.49,$230480.38
Commercial,Yolanda Manlow,Zoomdog,ymanlow4x@fc2.com,363-635-3566,183,30,4,932,19,,,Excelium,4,$12708.37,$2164730.25
Commercial,Dan Urwen,Yamia,durwen4y@xing.com,678-872-8819,99,53,9,583,19,,,Standard,5,$16024.24,$653759.59
Commercial,Carilyn Glaisner,Zoomcast,cglaisner54@who.int,113-473-2156,123,57,4,430,11,,,Premium,19,$12451.80,$688966.57
Commercial,Ogden Adriaan,Flipopia,oadriaan57@yahoo.com,182-411-6996,162,18,3,749,13,,,Premium,25,$13942.99,$1014230.81
Commercial,Evangelina Tapply,Linkbuzz,etapply5d@cyberchimps.com,888-801-8224,251,42,10,359,7,,,Standard,6,$16740.67,$43998.53
Commercial,Velvet Dabell,Fanoodle,vdabell5g@cdbaby.com,726-306-4459,342,47,10,373,9,,,Standard,6,$16511.96,$844645.45
Commercial,Baillie Gittis,Dynazzy,bgittis5j@posterous.com,125-459-7364,78,53,8,876,14,,,Standard,27,$13807.61,$1475501.24
Commercial,Laird Sherar,Realfire,lsherar5q@sbwire.com,177-677-3471,212,26,3,473,13,,,Excelium,9,$15123.42,$786242.77
Commercial,Shauna Tarpey,Izio,starpey5t@irs.gov,741-881-4670,335,14,10,619,6,,,Standard,17,$11851.96,$1572983.23
Commercial,Cordey Riolfo,Feednation,criolfo5w@globo.com,663-864-1674,280,9,3,739,10,,,Premium,30,$14040.56,$1016362.82
Commercial,Ediva Ainsley,Livetube,eainsley5x@noaa.gov,837-476-7967,174,11,8,537,6,,,Premium,7,$11971.16,$417568.75
Commercial,Bat Keesman,Rhynyx,bkeesman5y@dropbox.com,998-777-6016,122,68,1,108,16,,,Premium,9,$13934.96,$967873.01
Commercial,Tracey Ivashnyov,Zoombeat,tivashnyov5z@usa.gov,667-155-2482,370,15,9,938,20,,,Standard,13,$7107.01,$1201997.41
Commercial,Phillis Meneo,Flashspan,pmeneo61@scribd.com,607-255-5410,139,42,3,625,13,,,Standard,2,$15514.24,$493538.63
Commercial,Bruno Kyteley,Dynabox,bkyteley66@chronoengine.com,616-879-3650,76,10,8,755,5,,,Premium,13,$9168.21,$916795.21
Commercial,Red Dall,Brainsphere,rdall6a@pagesperso-orange.fr,296-757-3598,385,18,2,383,5,,,Premium,1,$9680.76,$1798124.26
Commercial,Ettie Adriano,Shufflester,eadriano6c@hexun.com,987-717-5217,183,51,8,611,18,,,Standard,14,$13528.65,$822235.88
Commercial,Marys Jeens,Quamba,mjeens6i@t-online.de,639-666-6848,321,9,4,451,7,,,Standard,17,$16639.22,$2304706.13
Commercial,Jim Bertolin,Dabfeed,jbertolin6q@uiuc.edu,152-195-7342,25,20,6,641,8,,,Excelium,1,$17640.56,$645704.31
Commercial,Glynda Perrygo,Flashpoint,gperrygo6u@netscape.com,947-471-5303,269,75,6,394,10,,,Premium,27,$14364.17,$2293699.15
Commercial,Wilbert Braham,Devify,wbraham6w@salon.com,723-202-5822,141,14,10,66,9,,,Premium,15,$12192.94,$130281.68
Commercial,Cally Wain,Youspan,cwain6z@bing.com,761-569-3218,317,69,9,21,10,,,Standard,7,$15913.31,$2026692.53
Commercial,Demetre Hymas,Topiclounge,dhymas79@shinystat.com,268-209-4701,64,8,4,235,16,,,Premium,13,$16531.25,$967270.60
Commercial,Hagan Chooter,Aimbu,hchooter7p@photobucket.com,471-986-3226,346,24,8,799,20,,,Premium,15,$10996.22,$2247591.58
Commercial,Jobyna Hollingsby,Shufflester,jhollingsby7q@oaic.gov.au,399-273-5756,38,91,10,284,20,,,Standard,2,$12730.02,$1860313.76
Commercial,Giselle Sisse,Janyx,gsisse7u@cbslocal.com,449-877-3159,172,83,6,858,13,,,Excelium,27,$17156.86,$1487685.77
Commercial,Rafaelia Stebbings,Thoughtstorm,rstebbings7x@stumbleupon.com,355-870-4241,191,88,9,512,14,,,Excelium,4,$16522.66,$919422.11
Commercial,Major Chesley,Mydo,mchesley81@dailymotion.com,210-606-6182,181,86,9,368,20,,,Premium,20,$15433.62,$904122.84
Commercial,Farr Huertas,Lajo,fhuertas8b@mozilla.org,935-958-8912,223,7,3,370,6,,,Premium,22,$17373.21,$1366890.39
Commercial,Marcille O'Longain,Wordify,molongain8c@globo.com,195-438-8767,218,73,1,314,18,,,Excelium,8,$7123.30,$93591.53
Commercial,Allan Leishman,Skalith,aleishman8h@gmpg.org,522-765-3751,46,20,6,733,20,,,Excelium,17,$7061.23,$1109163.48
Commercial,Dominick Howsley,DabZ,dhowsley8k@examiner.com,743-820-1462,383,92,1,361,13,,,Premium,10,$17343.23,$1913146.65
Commercial,Brigit Hazelton,Wordify,bhazelton8o@mtv.com,355-524-9970,37,42,3,578,14,,,Premium,13,$14396.01,$794978.10
Commercial,Evonne Divall,Fatz,edivall8q@artisteer.com,627-840-3741,33,11,4,953,5,,,Standard,22,$13968.27,$2084917.26
Commercial,Susi Sleaford,Cogilith,ssleaford8s@amazon.co.jp,933-655-2175,179,68,7,65,6,,,Standard,15,$10529.91,$695894.32
Commercial,Aarika Grocock,Centizu,agrocock8x@ycombinator.com,125-946-4120,59,3,3,461,11,,,Excelium,27,$14487.86,$410775.89
Commercial,Darrel Lease,Aimbu,dlease90@dropbox.com,461-483-4531,300,60,9,739,19,,,Premium,24,$15606.15,$1874015.80
Commercial,Vevay Moar,Wikibox,vmoar91@squidoo.com,823-868-2331,347,55,5,848,9,,,Premium,21,$8050.87,$2202625.98
Commercial,Modestia Whitland,Pixope,mwhitland92@com.com,756-964-0056,125,73,3,328,14,,,Premium,11,$12192.76,$283818.18
Commercial,Jodi Leathes,Bluejam,jleathes96@opera.com,276-200-8263,154,56,7,716,18,,,Premium,10,$10732.32,$2293385.22
Commercial,Verene Edmed,Jazzy,vedmed97@house.gov,727-166-8773,309,45,9,499,10,,,Excelium,5,$17612.42,$714862.26
Commercial,Pedro Feaster,Tekfly,pfeaster99@t-online.de,126-720-6905,64,86,3,377,20,,,Standard,1,$17951.06,$879558.25
Commercial,Brittan Mussared,Browsedrive,bmussared9a@squarespace.com,307-173-1607,315,95,2,517,9,,,Excelium,28,$9309.38,$1746768.18
Commercial,Wallis Grindell,Skaboo,wgrindell9h@ca.gov,594-173-4199,46,17,7,530,10,,,Standard,8,$9769.63,$1227342.29
Commercial,Harmony Oldroyd,Twitterbridge,holdroyd9j@hud.gov,550-254-5843,107,68,5,59,15,,,Excelium,7,$15958.86,$1582824.46
Commercial,Damita Hellyer,Buzzster,dhellyer9m@de.vu,382-862-8591,323,52,4,229,7,,,Premium,22,$14930.77,$1777077.78
Commercial,Bourke Size,Yodel,bsize9o@yellowbook.com,111-548-1674,184,15,2,745,14,,,Premium,30,$12213.79,$180408.43
Commercial,Jackson Roll,Oyoloo,jroll9s@va.gov,199-510-2537,151,69,1,74,15,,,Standard,21,$10074.96,$760225.80
Commercial,Farlay Eburah,Divanoodle,feburah9w@apple.com,408-734-0603,132,66,1,497,20,,,Premium,12,$14293.40,$851479.76
Commercial,Davie Holligan,Thoughtstorm,dholligan9x@elegantthemes.com,498-578-1017,87,42,7,760,12,,,Standard,26,$8583.24,$900798.73
Commercial,Jase Pardal,Quire,jpardala2@ow.ly,430-132-7564,125,42,1,239,7,,,Standard,22,$17173.60,$1905682.17
Commercial,Dalila Bratch,Mynte,dbratcha3@cam.ac.uk,401-831-5973,43,4,4,597,12,,,Excelium,22,$11088.29,$1614181.43
Commercial,Terry Jaqueminet,Zoonoodle,tjaquemineta5@tamu.edu,392-860-6007,322,29,8,546,6,,,Premium,26,$9349.15,$300209.68
Commercial,Tito Lambert-Ciorwyn,Tazzy,tlambertciorwyna6@taobao.com,988-494-7635,212,10,8,778,15,,,Excelium,1,$13144.98,$250396.40
Commercial,Nikola Fludder,Skippad,nfluddera7@ocn.ne.jp,819-311-2743,196,40,10,52,7,,,Excelium,28,$15926.12,$731010.72
Commercial,Vladamir Brackenbury,Chatterpoint,vbrackenburyac@chronoengine.com,679-416-6660,139,78,5,251,8,,,Premium,2,$9413.01,$853755.77
Commercial,Joleen Sargood,Demivee,jsargoodae@tmall.com,410-544-9073,267,79,5,35,8,,,Excelium,7,$8416.60,$45736.48
Commercial,Joana Giorgiutti,Ozu,jgiorgiuttiag@yahoo.com,743-598-4925,390,39,9,679,10,,,Premium,5,$16046.84,$596518.13
Commercial,Pail Spratling,Dabshots,pspratlingak@example.com,541-320-7888,364,20,7,447,8,,,Excelium,24,$14135.51,$451435.18
Commercial,Bren Rapinett,Wikido,brapinettam@seesaa.net,387-161-0895,91,21,9,134,5,,,Standard,28,$14796.05,$437781.14
Commercial,Ainsley Cowley,Avavee,acowleyar@sciencedirect.com,937-478-3402,377,85,1,245,6,,,Standard,28,$11797.56,$607008.60
Commercial,Bernita Garrud,Yodoo,bgarrudas@arstechnica.com,981-916-1328,84,27,6,404,16,,,Standard,19,$17566.21,$287047.68
Commercial,Loralie Hofner,Tanoodle,lhofnerat@macromedia.com,852-581-7967,206,35,6,162,9,,,Excelium,30,$9015.73,$708512.20
Commercial,Biron Tillyer,Buzzbean,btillyerav@zdnet.com,685-579-6732,318,14,7,622,11,,,Excelium,13,$7577.89,$1668811.92
Commercial,Isac Easbie,Eadel,ieasbieay@seattletimes.com,372-622-8928,74,72,1,12,13,,,Standard,17,$14113.18,$1350018.33
Commercial,Dedie Bassom,Meejo,dbassomb3@g.co,302-784-6320,250,34,4,807,11,,,Premium,10,$11696.08,$986198.73
Commercial,Rebbecca Slegg,Bubbletube,rsleggb6@people.com.cn,285-645-5389,192,22,9,104,8,,,Excelium,22,$16888.64,$871548.58
Commercial,Dulsea Collabine,Katz,dcollabineb9@creativecommons.org,276-905-8604,298,99,6,693,8,,,Premium,29,$13566.06,$2086397.25
Commercial,Sandye Spencelayh,Zoomcast,sspencelayhbg@ucla.edu,248-513-5158,148,20,6,420,6,,,Premium,14,$17354.15,$1094160.85
Commercial,Garrek Myott,Browsezoom,gmyottbj@nytimes.com,187-228-2696,259,79,5,895,20,,,Premium,25,$17152.67,$582305.22
Commercial,Wynn Steggals,Chatterpoint,wsteggalsbl@dion.ne.jp,202-265-8828,164,9,6,956,8,,,Premium,5,$10496.72,$864401.47
Commercial,Eleni Guyonnet,Buzzshare,eguyonnetbo@reddit.com,194-218-7810,118,22,8,393,13,,,Premium,30,$17072.88,$1700680.80
Commercial,Anselm Featherstone,Tanoodle,afeatherstonebs@europa.eu,511-139-5192,152,60,7,607,11,,,Premium,19,$11588.79,$555655.35
Commercial,Mikaela Rudman,Trilia,mrudmanbw@booking.com,723-348-6078,79,92,2,235,9,,,Standard,22,$11681.34,$2284002.43
Commercial,Puff Freschini,Brightdog,pfreschinic2@furl.net,852-272-2318,122,59,4,107,18,,,Excelium,30,$10909.25,$1007887.26
Commercial,Rozalin MacAulay,Devbug,rmacaulayc8@cbc.ca,121-210-3625,360,43,2,53,8,,,Excelium,22,$13053.84,$2249466.32
Commercial,Glenden Philpotts,Jabberbean,gphilpottscj@behance.net,875-545-9974,163,94,8,279,15,,,Excelium,22,$14836.51,$1390266.32
Commercial,Alley Playfair,Yakidoo,aplayfaircl@blogspot.com,685-497-0158,109,55,6,630,12,,,Excelium,27,$13234.43,$816052.91
Commercial,Constantino Leades,Voomm,cleadescw@china.com.cn,186-857-1773,394,10,1,776,5,,,Excelium,19,$7229.87,$1667424.30
Commercial,Othella Egglestone,Demimbu,oegglestonecz@icio.us,493-514-1689,336,3,1,197,20,,,Excelium,17,$7163.13,$1168015.36
Commercial,Millie Ridgway,Zoovu,mridgwayd1@amazon.de,740-786-5367,252,14,8,767,15,,,Excelium,2,$13546.64,$1658303.09
Commercial,Constancia Balden,Shufflester,cbaldend2@google.ca,530-689-0816,60,3,10,82,18,,,Excelium,23,$11720.67,$26002.03
Commercial,Lee Sanger,Mybuzz,lsangerd4@kickstarter.com,184-519-9304,366,95,3,468,19,,,Premium,8,$16353.31,$2204571.29
Commercial,Estell Rathbourne,Tambee,erathbourned6@blogtalkradio.com,335-665-2911,185,54,7,131,13,,,Standard,29,$9894.66,$41109.86
Commercial,Svend Punton,Tagcat,spuntond8@nationalgeographic.com,212-771-3518,185,39,2,808,8,,,Excelium,16,$7277.95,$396244.47
Commercial,Noami Goforth,Voonix,ngoforthdb@acquirethisname.com,739-330-9592,58,46,3,986,6,,,Excelium,27,$17712.55,$2192165.88
Commercial,Rochester Tiesman,Minyx,rtiesmande@google.fr,715-646-8182,378,91,2,313,6,,,Excelium,26,$9126.56,$2040674.45
Commercial,Klarika Tuny,Quire,ktunydi@ftc.gov,248-536-0681,267,64,4,305,5,,,Excelium,14,$7196.77,$717166.29
Commercial,Dick Neilson,Jatri,dneilsondm@about.me,339-564-5747,194,33,3,907,18,,,Standard,3,$12878.24,$396991.24
Commercial,Charmane Windle,Skalith,cwindledp@hhs.gov,924-477-1461,248,68,10,473,7,,,Excelium,20,$15886.19,$2081068.23
Commercial,Massimo Niece,Zoonder,mniecedq@amazon.de,526-700-8754,234,4,3,634,5,,,Premium,30,$7904.02,$2257209.14
Commercial,Kym Goslin,Chatterbridge,kgoslindu@wisc.edu,226-797-0334,164,6,10,195,15,,,Excelium,12,$7105.59,$378929.54
Commercial,Brien Poulson,Yakijo,bpoulsondw@wordpress.org,582-285-3159,103,72,10,746,11,,,Excelium,5,$17429.10,$1293977.31
Commercial,Valera Absolon,Eadel,vabsolondz@fastcompany.com,834-409-2471,376,30,2,810,13,,,Standard,21,$16129.03,$813359.75
Commercial,Hatty Batterson,Thoughtbeat,hbattersone9@reference.com,140-959-3069,67,46,1,607,7,,,Standard,29,$16600.94,$470571.48
Commercial,Marcella Forseith,Gabtune,mforseitheh@google.it,963-932-8789,103,44,3,555,10,,,Excelium,20,$10389.63,$1464350.28
Commercial,Quint Affuso,Kayveo,qaffusoem@wiley.com,828-774-1405,298,44,4,754,16,,,Premium,4,$15357.52,$1985107.09
Commercial,Hogan Ivasyushkin,Pixoboo,hivasyushkinen@macromedia.com,889-964-2379,197,32,6,490,12,,,Premium,29,$8838.70,$77449.42
Commercial,Grover Slopier,Buzzdog,gslopierf1@eepurl.com,713-790-0836,94,97,10,774,16,,,Standard,26,$11051.22,$212083.87
Commercial,Gaultiero Carah,Skyba,gcarahf4@cocolog-nifty.com,675-232-0622,113,45,1,390,15,,,Excelium,13,$8208.75,$1545482.39
Commercial,Jojo Philipart,Blogpad,jphilipartfc@trellian.com,266-980-8029,267,85,6,599,10,,,Premium,4,$7744.93,$480124.65
Commercial,Trey Rajchert,Devify,trajchertfn@uol.com.br,321-616-4905,173,22,5,814,19,,,Excelium,21,$15145.24,$1409362.21
Commercial,Gillan Imrie,Livetube,gimriefr@jigsy.com,993-848-8769,68,70,10,958,20,,,Excelium,30,$16397.68,$788255.52
Commercial,Jamesy McCowan,Demizz,jmccowanfw@geocities.jp,623-642-1796,221,61,10,723,20,,,Premium,6,$7229.98,$1016268.80
Commercial,Keen Abramzon,Thoughtblab,kabramzonfy@vimeo.com,805-926-8706,379,93,7,154,5,,,Standard,12,$13701.83,$1558837.02
Commercial,Kienan Kurth,Quire,kkurthg3@huffingtonpost.com,515-656-0879,117,75,2,660,12,,,Premium,20,$12788.59,$2059968.99
Commercial,Allix Jest,Dabfeed,ajestg7@wordpress.com,282-125-7332,256,95,4,576,19,,,Premium,3,$14482.14,$2035883.93
Commercial,Glenden Vedenichev,Tekfly,gvedenichevg9@google.ru,552-440-4964,319,16,4,325,14,,,Standard,13,$17776.67,$87139.81
Commercial,Louie Haly,Jabberstorm,lhalygj@yelp.com,326-166-2138,334,86,3,300,10,,,Excelium,24,$7621.43,$2279546.30
Commercial,Mureil Molian,Pixoboo,mmoliangk@privacy.gov.au,463-275-4515,112,80,5,165,10,,,Premium,10,$15952.56,$1046690.76
Commercial,Merl Prudham,Kamba,mprudhamgp@networkadvertising.org,310-809-2994,312,92,8,669,17,,,Standard,23,$15085.54,$1068139.27
Commercial,Trey Schach,Brightdog,tschachgu@opera.com,977-998-4584,201,96,6,218,14,,,Premium,22,$13676.59,$1841470.96
Commercial,Michael Tearny,Photofeed,mtearnygw@dropbox.com,104-777-9802,200,14,7,394,15,,,Standard,13,$13033.43,$1181632.25
Commercial,Ugo Carillo,Quatz,ucarilloh3@arstechnica.com,103-515-6931,367,90,8,703,10,,,Premium,18,$12116.38,$48253.25
Commercial,Vasili Kimbury,Avamm,vkimburyh6@weather.com,330-153-3851,338,59,6,211,8,,,Premium,6,$14448.16,$1412884.62
Commercial,John Rayment,Voolia,jraymenthd@nymag.com,516-688-2654,379,79,2,33,5,,,Excelium,8,$16145.07,$430424.13
Commercial,Elsinore Webbe,Tagopia,ewebbehe@t-online.de,289-839-9483,98,71,1,194,9,,,Excelium,9,$14622.43,$1661627.26
Commercial,Gilburt Marden,Yata,gmardenhk@constantcontact.com,248-217-0704,344,74,4,57,19,,,Standard,18,$13884.96,$2032471.22
Commercial,Nadeen Lenox,Vimbo,nlenoxhn@smugmug.com,186-350-1208,167,94,5,587,8,,,Standard,13,$8677.41,$1120526.70
Commercial,Gradeigh Ferebee,Twitterbridge,gferebeehq@jiathis.com,198-487-4556,185,62,7,320,16,,,Standard,23,$14999.39,$411726.28
Commercial,Ludvig MacAlister,Jaxworks,lmacalisterhs@cbslocal.com,309-872-3472,148,18,4,333,17,,,Premium,23,$10816.14,$1268185.01
Commercial,Karrah Benedit,Jaloo,kbenedithw@phpbb.com,917-556-3783,376,92,9,827,16,,,Excelium,5,$8104.94,$1824484.13
Commercial,Amery Caustic,Yakijo,acaustichx@artisteer.com,547-405-1452,209,95,6,483,9,,,Standard,21,$12176.36,$703789.60
Commercial,Laurette Baxter,Kare,lbaxteri1@homestead.com,876-400-1111,258,17,2,98,7,,,Premium,9,$17208.83,$509981.84
Commercial,Wallas Raubheim,Thoughtmix,wraubheimi2@tumblr.com,711-465-9657,396,83,5,295,18,,,Standard,24,$16325.19,$661738.52
Commercial,Marietta Blount,Skippad,mblounti8@phpbb.com,328-653-3377,280,88,4,771,7,,,Standard,14,$9616.22,$712538.91
Commercial,Catriona Marran,Wikibox,cmarrania@illinois.edu,111-343-1694,281,3,6,882,9,,,Excelium,25,$13097.55,$2063405.00
Commercial,Riordan Nowlan,Dabjam,rnowlanid@hugedomains.com,252-162-7003,397,19,3,209,14,,,Excelium,17,$7863.02,$1860990.24
Commercial,Ellie Leuchars,Ailane,eleucharsii@amazon.co.uk,539-286-7128,90,34,6,560,13,,,Standard,21,$13917.09,$465020.78
Commercial,Chevy Reddan,Gabtype,creddanin@abc.net.au,876-447-5170,229,57,10,203,14,,,Excelium,17,$16459.97,$1760464.65
Commercial,Elisha Serle,Twitternation,eserleio@last.fm,493-823-5006,187,45,10,140,7,,,Excelium,17,$12564.36,$1714638.28
Commercial,Berkeley Devenport,Ozu,bdevenportit@etsy.com,929-502-4873,154,51,7,308,6,,,Excelium,15,$10023.47,$458669.23
Commercial,Audrey Lias,Roomm,aliasiv@miitbeian.gov.cn,454-447-2786,106,87,7,471,11,,,Excelium,20,$16789.91,$250377.24
Commercial,Brewster Scragg,Gabspot,bscraggiy@abc.net.au,309-460-9109,221,84,2,69,20,,,Standard,10,$13891.58,$1504350.34
Commercial,Shurlock Rettie,Katz,srettieiz@google.com,327-445-0530,51,70,2,529,8,,,Standard,7,$14041.28,$91869.87
Commercial,Reider Katzmann,Fivespan,rkatzmannj0@shop-pro.jp,460-926-9421,188,39,2,918,15,,,Premium,9,$7524.73,$1187843.32
Commercial,Patric Dullard,Miboo,pdullardj1@rediff.com,398-469-6007,77,53,7,627,12,,,Excelium,19,$16945.56,$2043056.35
Commercial,Louella Maris,Yambee,lmarisj3@chicagotribune.com,607-236-1525,390,86,9,790,17,,,Premium,3,$13188.18,$600423.85
Commercial,Gwynne Wimmer,Dazzlesphere,gwimmerj7@goodreads.com,879-863-6478,170,7,2,304,14,,,Premium,2,$16357.85,$626253.69
Commercial,Barny Tooze,Kwimbee,btoozej9@spotify.com,725-960-5695,296,23,2,939,5,,,Standard,6,$11261.00,$955178.22
Commercial,Karalynn Devonport,Aivee,kdevonportjb@nifty.com,836-277-8408,295,52,9,484,10,,,Excelium,6,$16769.75,$286158.09
